SKU*,Warehouse Locations,Qty In Stock
NG22928,,2
NG22954,"C2F,D2M,",907
NG22968,"D3H,D6S,",460
NG22974,,0
NG22978,,
NG22983,,0
NG22984,,0
NG22987,,0
NG23000,,0
NG23003A,"A3F,",56
NG23003B,,0
NG23003C,"A3F,C5H,",115
NG23004,,-3
NG23008,"LROOM,",0
NG23009,,0
NG23018,,0
NG23022,,-22
NG23023,,
NG23028,"C4H,C6F0,",261
NG23030,,0
NG23031,,0
NG23035,,0
NG23036,"A5F,",55
NG23038,,0
NG23040,"A4F,G8H,",204
NG23045A,,0
NG23045B,"A4F,",86
NG23045C,,0
NG23048,"I10F,",-12
NG23049,,0
NG23050A,"C1F,",64
NG23050B,"C1F,",97
NG23051,"B3F,",116
NG23056,,0
NG23057,"D10H,D3S,",1043
NG23058,"K6F,",67
NG23061,,12
NG23092,,0
NG23104,"C2S,D2M,",206
NG23105,,0
NG23106,,
NG23123,,
NG23124,,
NG23125,,
NG23126,,
NG23127,"H4H,H4S,",1023
NG23128,,
NG23129,"H3H,H4S,J4H,",1005
NG23130,,
NG23131,,
NG23133,"N3M,",164
NG23134,"N1M,N3M,",429
NG23135,"J7S,N3M,",92
NG23136A,"A3F,B4H,",167
NG23136B,,-4
NG23140A,"B2F,L1M,",54
NG23140B,"B2F,L1H,",281
NG23141,"A2F,",0
NG23142,"A9F,B8H,D11H,",119
NG23145,"F9F,F9H,",222
NG23152,"J5S,L3H,",151
NG23153,,
NG23154,,
NG23155,"J5S,L3H,",80
NG23160,,
NG23161,,
NG23162,,
NG23163,,
NG23170,"D4M::0,D5F,",354
NG23171,"I5F,",750
NG23173,"E7F,F6M,",936
NG23174A,"E4F,E6M,",174
NG23174B,"E4F,E6M,",172
NG23177,"F2S,",1440
NG23178,,6
NG23179,"E6F,F6M,",754
NG23180,"D3S,",322
NG23190,"D3H,D6F,",99
NG23193,,-1
NG23195,,0
NG23197,"E4F,E6H,F6H,",856
NG23198,"B2M,E3F,",27
NG23199,"E4S,",912
NG23201,"F8F,",264
NG23204A,"C10H,E4F,",155
NG23204B,"Kitchen #18,",-1
NG23207,,-24
NG23207A,,0
NG23210,"C2S,",344
NG23217,"D2H,D3S,",24
NG23220,"F7F,",792
NG23221,"F4S,",1126
NG23221A,"F4H,F6F,",822
NG23222,,
NG23223,"C6S,",534
NG23223B,,0
NG23225,"I6S,",288
NG23226B,,0
NG23226C,,0
NG23226D,,0
NG23226E,,0
